"College
Code",College Name,"Branch
code",Branch Name,OC,BC,BCM,MBC_DNC,SC,SCA,ST
1325,St. JOSEPH COLLEGE OF ENGINEERING,EC,"Electronics and
Communication Engineering",120.67,,,120,,,
1325,St. JOSEPH COLLEGE OF ENGINEERING,EE,"Electrical and Electronics
Engineering",,,,,126,,
1325,St. JOSEPH COLLEGE OF ENGINEERING,IT,Information Technology,,,,,120,,
1325,St. JOSEPH COLLEGE OF ENGINEERING,ME,Mechanical Engineering,131,124,,,,,
1402,ANNAI TERESA COLLEGE OF ENGINEERING,CS,"Computer Science and
Engineering",,,,,119.33,,
1402,ANNAI TERESA COLLEGE OF ENGINEERING,EC,"Electronics and
Communication Engineering",,,,130.33,,,
1402,ANNAI TERESA COLLEGE OF ENGINEERING,EE,"Electrical and Electronics
Engineering",127,,,,,,
1402,ANNAI TERESA COLLEGE OF ENGINEERING,ME,Mechanical Engineering,147,,,,,,
1405,DHANALAKSHMI COLLEGE OF ENGINEERING,ME,Mechanical Engineering,132.33,,,,,,
1408,IFET COLLEGE OF ENGINEERING,ME,Mechanical Engineering,123.33,,,,,,
1409,"KARPAGA VINAYAGA COLLEGE OF
ENGINEERING AND TECHNOLOGY",BT,Bio Technology,137.67,,,,,,
1412,MAILAM ENGINEERING COLLEGE,ME,Mechanical Engineering,119.33,,,,,,
1419,SRI SAIRAM ENGINEERING COLLEGE,ME,Mechanical Engineering,143.67,,,,,,
1421,"V.R.S. COLLEGE OF ENGINEERING AND
TECHNOLOGY",CE,Civil Engineering,115.33,,,,,,
1421,"V.R.S. COLLEGE OF ENGINEERING AND
TECHNOLOGY",CS,"Computer Science and
Engineering",,,,,124.67,,
1421,"V.R.S. COLLEGE OF ENGINEERING AND
TECHNOLOGY",EC,"Electronics and
Communication Engineering",135,,,,120.33,,
1421,"V.R.S. COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",125.33,,,,,,
1421,"V.R.S. COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,144.67,,,,,,
1424,DHAANISH AHMED COLLEGE OF ENGINEERING,ME,Mechanical Engineering,124,,,,,,
1426,SRI RAMANUJAR ENGINEERING COLLEGE,ME,Mechanical Engineering,,,,,132.33,,
1430,MAHA BARATHI ENGINEERING COLLEGE,CS,"Computer Science and
Engineering",,,,,116.33,,
1430,MAHA BARATHI ENGINEERING COLLEGE,EC,"Electronics and
Communication Engineering",121.67,,,,,,
1430,MAHA BARATHI ENGINEERING COLLEGE,EE,"Electrical and Electronics
Engineering",131.33,,,,,,
1430,MAHA BARATHI ENGINEERING COLLEGE,ME,Mechanical Engineering,122,,,121.67,,,
1434,SURYA GROUP OF INSTITUTIONS,AE,Aeronautical Engineering,115.33,,,,,,
1434,SURYA GROUP OF INSTITUTIONS,EE,"Electrical and Electronics
Engineering",104,,,,,,
1436,A.R. ENGINEERING COLLEGE,ME,Mechanical Engineering,,,,141.67,,,
1437,RRASE COLLEGE OF ENGINEERING,EC,"Electronics and
Communication Engineering",,,,,112.67,,
1441,"A.K.T. MEMORIAL COLLEGE OF ENGINEERING
AND TECHNOLOGY",CE,Civil Engineering,,,,121.33,,,
1441,"A.K.T. MEMORIAL COLLEGE OF ENGINEERING
AND TECHNOLOGY",CS,"Computer Science and
Engineering",,,,,116.33,,
1441,"A.K.T. MEMORIAL COLLEGE OF ENGINEERING
AND TECHNOLOGY",EE,"Electrical and Electronics
Engineering",125.33,,,,,,
1441,"A.K.T. MEMORIAL COLLEGE OF ENGINEERING
AND TECHNOLOGY",ME,Mechanical Engineering,130.33,,,128,,,
1444,"CHENDU COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,132,,,,,,
1450,"LOYOLA - ICAM COLLEGE OF ENGINEERING
AND TECHNOLOGY",ME,Mechanical Engineering,155.67,,,,,,
1508,ARUNAI COLLEGE OF ENGINEERING,EE,"Electrical and Electronics
Engineering",128,116.33,,,,,
1508,ARUNAI COLLEGE OF ENGINEERING,ME,Mechanical Engineering,128.67,124.33,,,,,
1510,PRIYADARSHINI ENGINEERING COLLEGE,ME,Mechanical Engineering,135.67,,,,,,
1513,"SRI BALAJI CHOCKALINGAM ENGINEERING
COLLEGE",EC,"Electronics and
Communication Engineering",114,,,,,,
1513,"SRI BALAJI CHOCKALINGAM ENGINEERING
COLLEGE",ME,Mechanical Engineering,,,,,118.67,,
1515,"Saraswathi Velu College of Engineering, Melvenkatapuram Village, Sholingur, Vellore
District 631102",EE,Electrical and Electronics Engineering,138.67,,,,,,
1515,"Saraswathi Velu College of Engineering, Melvenkatapuram Village, Sholingur, Vellore
District 631102",ME,Mechanical Engineering,,,,,117.17,,
1516,"THANTHAI PERIYAR GOVT INSTITUTE OF
TECHNOLOGY",CE,Civil Engineering,127.33,,,,,,
1516,"THANTHAI PERIYAR GOVT INSTITUTE OF
TECHNOLOGY",EC,"Electronics and
Communication Engineering",127.33,119,,127,,,
1516,"THANTHAI PERIYAR GOVT INSTITUTE OF
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",,,,,130,,
1516,"THANTHAI PERIYAR GOVT INSTITUTE OF
TECHNOLOGY",ME,Mechanical Engineering,161.33,128.67,,150.33,,,
1519,BHARATHIDASAN ENGINEERING COLLEGE,CS,"Computer Science and
Engineering",128.67,,,,,,
1519,BHARATHIDASAN ENGINEERING COLLEGE,EE,"Electrical and Electronics
Engineering",,,,143.33,,,
1519,BHARATHIDASAN ENGINEERING COLLEGE,IT,Information Technology,122.67,,,,,,
1519,BHARATHIDASAN ENGINEERING COLLEGE,ME,Mechanical Engineering,129.33,,,,,,
1521,SHRI SAPTHAGIRI INSTITUTE OF TECHNOLOGY,ME,Mechanical Engineering,131,,,,,,
1525,"PODHIGAI COLLEGE OF ENGINEERING AND
TECHNOLOGY",CS,"Computer Science and
Engineering",123.33,,,,,,
1525,"PODHIGAI COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",134,,,123.67,,,
1525,"PODHIGAI COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,125,,,,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",CE,Civil Engineering,176.67,164.33,,166.33,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",CS,"Computer Science and
Engineering",186.67,,,,125.67,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",EC,"Electronics and
Communication Engineering",,180.67,,,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",EE,"Electrical and Electronics
Engineering",160.67,177.67,,,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",EI,"Electronics and
Instrumentation Engineering",,,,,,127.33,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",IB,Industrial Bio-Technology,156.33,120.67,,,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",IT,Information Technology,,,,,,160,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",ME,Mechanical Engineering,190.67,189.67,,166.67,,,
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY
(AUTONOMOUS), COIMBATORE",PR,Production Engineering,,,,,121.67,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",AS,Automobile Engineering (SS),,,,177,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",BS,Bio Technology (SS),,,,,117.67,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",BY,Bio- Medical Engineering (SS),,,,,137.67,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",CE,Civil Engineering,,,,162,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",CM,"Computer Science and
Engineering (SS)",199,,,161,186,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",EC,"Electronics and
Communication Engineering",,194,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",,,,182.67,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",EM,"Electronics and
Communication Engg. (SS)",,,,155.67,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",ES,"Electrical and Electronics
(Sandwich) (SS)",157,150.33,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",FY,Fashion Technology (SS),164,146.33,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",IM,Information Tech. (SS),194.33,,118.67,162.33,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",IY,"Instrumentation and Control
Engineering (SS)",186.67,144,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",ME,Mechanical Engineering,,,,,,157.33,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",MF,Mechanical Engg. (SS),192,191,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",MS,"Mechanical Engineering
(Sandwich) (SS)",,172.33,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",MT,Metallurgical Engineering,,169.33,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",PN,Production Engineering (SS),,166.67,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",PR,Production Engineering,189.67,,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",PS,"Production Engineering
(Sandwich) (SS)",148,,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",RA,Robotics and Automation (SS),159,149,,,,,
2006,"P.S.G. COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",TX,Textile Technology,155,,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",CE,Civil Engineering,,,,,,114,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",CN,Civil Engineering (SS),176.67,159.33,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",CS,"Computer Science and
Engineering",,,,161.33,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",EC,"Electronics and
Communication Engineering",,,,,142.67,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",193,189.33,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",EY,Elec. And Electronics Engg (SS),,166.67,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",IM,Information Tech. (SS),175,154,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",ME,Mechanical Engineering,196.83,188.67,,,,,
2007,"COIMBATORE INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",MF,Mechanical Engg. (SS),170,162.33,,,,,
2302,"SRI SHANMUGHA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CS,"Computer Science and
Engineering",127.67,,,,,,
2302,"SRI SHANMUGHA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EC,"Electronics and
Communication Engineering",135.67,,,,,,
2302,"SRI SHANMUGHA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ME,Mechanical Engineering,183.83,,,,,,
2314,MUTHAYAMMAL COLLEGE OF ENGINEERING,CS,"Computer Science and
Engineering",132.67,,,,,,
2314,MUTHAYAMMAL COLLEGE OF ENGINEERING,EC,"Electronics and
Communication Engineering",135,,,,,,
2314,MUTHAYAMMAL COLLEGE OF ENGINEERING,ME,Mechanical Engineering,140,,,,126,,
2327,"N.S.N. COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",146.33,119.33,,,,,
2327,"N.S.N. COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,123.33,,,,,,
2332,"AISHWARYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",CS,"Computer Science and
Engineering",135.33,,,,,,
2338,"ASIAN COLLEGE OF ENGINEERING AND
TECHNOLOGY",CE,Civil Engineering,,,,,125,,
2338,"ASIAN COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",127.67,,,,,,
2338,"ASIAN COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,128.33,,,,,,
2341,GANESH COLLEGE OF ENGINEERING,CE,Civil Engineering,148.67,,,,,,
2341,GANESH COLLEGE OF ENGINEERING,CS,"Computer Science and
Engineering",,,,,120.67,,
2341,GANESH COLLEGE OF ENGINEERING,EC,"Electronics and
Communication Engineering",133.67,129.33,,,,,
2341,GANESH COLLEGE OF ENGINEERING,EE,"Electrical and Electronics
Engineering",,,,126.67,,,
2341,GANESH COLLEGE OF ENGINEERING,ME,Mechanical Engineering,124.67,124,,123.67,120.67,,
2342,"SRI RANGANATHAR INSTITUTE OF
ENGINEERING & TECHNOLOGY",EE,"Electrical and Electronics
Engineering",116.67,,,,,,
2343,"INDIAN INSTITUTE OF HANDLOOM
TECHNOLOGY",HT,"Handloom and Textile
Technology",141.33,,,,,,
2345,DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY,EC,"Electronics and
Communication Engineering",129.33,,,,,116,
2345,DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY,EE,"Electrical and Electronics
Engineering",130,,,,,,
2345,DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY,ME,Mechanical Engineering,125.33,,,,,,
2347,AVS COLLEGE OF TECHNOLOGY,CE,Civil Engineering,,,,,,111.67,
2347,AVS COLLEGE OF TECHNOLOGY,CS,"Computer Science and
Engineering",124.67,,,115.33,,,
2347,AVS COLLEGE OF TECHNOLOGY,EC,"Electronics and
Communication Engineering",,,,,113,,
2347,AVS COLLEGE OF TECHNOLOGY,EE,"Electrical and Electronics
Engineering",136.67,,,,,,
2347,AVS COLLEGE OF TECHNOLOGY,ME,Mechanical Engineering,135.67,,,128.67,,,
2354,"POLLACHI INSTITUTE OF ENGINEERING AND
TECHNOLOGY",CE,Civil Engineering,,125,,,,,
2354,"POLLACHI INSTITUTE OF ENGINEERING AND
TECHNOLOGY",EC,"Electronics and
Communication Engineering",114.33,,,,,,
2357,"V.S.B. COLLEGE OF ENGINEERING TECHNICAL
CAMPUS",CE,Civil Engineering,136,,,,,,
2357,"V.S.B. COLLEGE OF ENGINEERING TECHNICAL
CAMPUS",CS,"Computer Science and
Engineering",165.33,133.67,,124,,,
2357,"V.S.B. COLLEGE OF ENGINEERING TECHNICAL
CAMPUS",EC,"Electronics and
Communication Engineering",,,,,,137,
2357,"V.S.B. COLLEGE OF ENGINEERING TECHNICAL
CAMPUS",EE,"Electrical and Electronics
Engineering",136.67,134,,,,,
2357,"V.S.B. COLLEGE OF ENGINEERING TECHNICAL
CAMPUS",ME,Mechanical Engineering,,,,131.67,137,,
2358,SCAD INSTITUTE OF TECHNOLOGY,CS,"Computer Science and
Engineering",134.33,,,,,,
2358,SCAD INSTITUTE OF TECHNOLOGY,EC,"Electronics and
Communication Engineering",122,122,,,,,
2358,SCAD INSTITUTE OF TECHNOLOGY,EE,"Electrical and Electronics
Engineering",152.33,134,,,,,
2369,"GOVERNMENT COLLEGE OF ENGINEERING -
DHARMAPURI",CS,"Computer Science and
Engineering",,,,,124,,
2369,"GOVERNMENT COLLEGE OF ENGINEERING -
DHARMAPURI",EC,"Electronics and
Communication Engineering",135.67,,,,,,
2369,"GOVERNMENT COLLEGE OF ENGINEERING -
DHARMAPURI",EE,"Electrical and Electronics
Engineering",,,,137.67,,,
2369,"GOVERNMENT COLLEGE OF ENGINEERING -
DHARMAPURI",ME,Mechanical Engineering,,119.67,,,,,
2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED
RESEARCH",CE,Civil Engineering,138,132.33,,,,,
2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED
RESEARCH",CS,"Computer Science and
Engineering",177.67,147.33,,,,,
2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED
RESEARCH",EC,"Electronics and
Communication Engineering",150.33,,,,,,
2377,"PSG INSTITUTE OF TECHNOLOGY AND APPLIED
RESEARCH",ME,Mechanical Engineering,,,,139.67,,,
2601,"ADHIYAMAAN COLLEGE OF ENGINEERING
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",135.83,,,128.83,,,
2601,"ADHIYAMAAN COLLEGE OF ENGINEERING
(AUTONOMOUS)",ME,Mechanical Engineering,150,,,,,,
2603,"GOVERNMENT COLLEGE OF  ENGINEERING -
BARGUR (AUTONOMOUS)",CS,"Computer Science and
Engineering",,,,131.33,,,
2603,"GOVERNMENT COLLEGE OF  ENGINEERING -
BARGUR (AUTONOMOUS)",EC,"Electronics and
Communication Engineering",129,,,,,,
2603,"GOVERNMENT COLLEGE OF  ENGINEERING -
BARGUR (AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",,128,,,,,
2603,"GOVERNMENT COLLEGE OF  ENGINEERING -
BARGUR (AUTONOMOUS)",ME,Mechanical Engineering,,,,,137,,
2606,"JAYAM COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",,,,,139,,
2607,"K.S.RANGASAMY COLLEGE OF TECHNOLOGY
(AUTONOMOUS)",ME,Mechanical Engineering,145.67,130,,,,,
2608,"M.KUMARASAMY COLLEGE OF ENGINEERING
(AUTONOMOUS)",EC,"Electronics and
Communication Engineering",146.67,,,,,,
2608,"M.KUMARASAMY COLLEGE OF ENGINEERING
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",118.67,,,,,,
2608,"M.KUMARASAMY COLLEGE OF ENGINEERING
(AUTONOMOUS)",ME,Mechanical Engineering,146.67,124.33,,123.33,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",CE,Civil Engineering,113.67,,,,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",CS,"Computer Science and
Engineering",111.67,,,,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",EC,"Electronics and
Communication Engineering",120,,,118.67,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",137.67,,,,99,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",IT,Information Technology,112.67,,,,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",MC,Mechatronics,127.33,,,,,,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",ME,Mechanical Engineering,156,135,,145.67,124.67,135.67,
2609,"MAHENDRA ENGINEERING COLLEGE
(AUTONOMOUS)",MU,"Mechanical  and Automation
Engineering",,,,,116,,
2610,"MUTHAYAMMAL ENGINEERING COLLEGE
(AUTONOMOUS)",BM,Bio- Medical Engineering,,,,,121.5,,
2610,"MUTHAYAMMAL ENGINEERING COLLEGE
(AUTONOMOUS)",CS,"Computer Science and
Engineering",126,,,,,,
2610,"MUTHAYAMMAL ENGINEERING COLLEGE
(AUTONOMOUS)",EC,"Electronics and
Communication Engineering",123.33,101.67,,,116.33,,
2610,"MUTHAYAMMAL ENGINEERING COLLEGE
(AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",132.5,,,,,,
