"COLLEGE
CODE",COLLEGE NAME,BRANCH,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",FS,FOOD TECHNOLOGY (SS),,112,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",IB,INDUSTRIAL BIO TECHNOLOGY,,,,133,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",IS,INDUSTRIAL BIO TECHNOLOGY (SS),,,,113.5,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),,,,,144,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",TX,TEXTILE TECHNOLOGY,155.5,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",AE,AERONAUTICAL ENGINEERING,185,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),190.5,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",AU,AUTOMOBILE ENGINEERING,180,,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",CM,COMPUTER SCIENCE AND ENGINEERING (SS),,167.5,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",CS,COMPUTER SCIENCE AND ENGINEERING,,191.5,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,188,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",EM,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",,,,,135,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",IM,INFORMATION TECHNOLOGY (SS),193.5,166,,,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",PR,PRODUCTION ENGINEERING,,,,136,,,
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",RA,ROBOTICS AND AUTOMATION (SS),,177,,,,,
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",AM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",122,,,,,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",CE,CIVIL  ENGINEERING,,,,138.5,,,
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),,,,,151.4,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",CS,"COMPUTER SCIENCE AND
ENGINEERING",153,108.5,,,,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",CZ,"CIVIL AND STRUCTUTURAL
ENGINEERING",,,,,114,,
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,,121,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",146.5,,,,,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",IT,INFORMATION TECHNOLOGY,99,,,,,,
5,"Annamalai University Faculty of Engineering and
Technology,Annamalai nagar,Cuddalore",ME,MECHANICAL ENGINEERING,125.5,124,,108.5,,,
1014,"University College of Engineering, Tindivanam,
Melpakkam, Tindivanam, Villupuram District 604001",CS,COMPUTER SCIENCE AND ENGINEERING,130,,,,,,
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni,
Thiruvannamalai District 632326",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,107.5,,,,,
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni,
Thiruvannamalai District 632326",ME,MECHANICAL ENGINEERING,124,,,,,,
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post,
Kancheepuram District 631552",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,143,132,,,,,
1106,"Jaya Engineering College, Thirunindravur, Chennai
602024",ME,MECHANICAL ENGINEERING,,,,91,,,
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH  Road, Thiruvallur District
631204",FD,FOOD TECHNOLOGY,,106.5,,,,,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",CS,COMPUTER SCIENCE AND ENGINEERING,155.5,,,,,,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,127.5,,,,,
1120,"Velammal Engineering College (Autonomous),
Ambattur-Redhills Road, Chennai 600066",ME,MECHANICAL ENGINEERING,,,,134,,,
1128,"R M K College of Engineering and Technology
(Autonomous), Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206",CS,COMPUTER SCIENCE AND ENGINEERING,150,,,,,,
1202,"D M I College of Engineering, Palanchoor,
Nazrethpet, Chennai 602103",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",133,,,,,,
1202,"D M I College of Engineering, Palanchoor,
Nazrethpet, Chennai 602103",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,,116,,
1202,"D M I College of Engineering, Palanchoor,
Nazrethpet, Chennai 602103",IT,INFORMATION TECHNOLOGY,176,,,,,,
1202,"D M I College of Engineering, Palanchoor,
Nazrethpet, Chennai 602103",ME,MECHANICAL ENGINEERING,,123,,,,,
1210,"Panimalar Engineering College (Autonomous), Nazarethpet, Poonamallee, Chennai 602123",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",127,,,,,,
1210,"Panimalar Engineering College (Autonomous),
Nazarethpet, Poonamallee, Chennai 602123",IT,INFORMATION TECHNOLOGY,157.5,,,,,,
1210,"Panimalar Engineering College (Autonomous),
Nazarethpet, Poonamallee, Chennai 602123",ME,MECHANICAL ENGINEERING,147.5,,,134,139.5,,
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,136.5,,,,,,
1216,"Saveetha Engineering College (Autonomous),
Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,,169.1,,,,,
1226,"P T Lee Chengalvaraya Naicker College of
Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",CS,COMPUTER SCIENCE AND ENGINEERING,145.5,103.5,,,,,
1226,"P T Lee Chengalvaraya Naicker College of
Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,107,,,
1230,"Apollo Engineering College, Mevaloorkuppam,
Valarpuram Post, Sriperumpudur, Kancheepuram District 602105",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,133,,,
1233,"Adhi College of Engineering and Technology,
Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,105.5,,,
1233,"Adhi College of Engineering and Technology,
Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,132,,
1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,117.5,,,
1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur
District 601206",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157,,,,,,
1304,"Easwari Engineering College (Autonomous),
Ramapuram, Chennai 600089",CS,"COMPUTER SCIENCE AND
ENGINEERING",148.5,,,,,,
1306,"Jeppiaar Engineering College, Old Mahabalipuram
Road (OMR), Chennai 600119",CS,"COMPUTER SCIENCE AND
ENGINEERING",133,,,,,,
1311,"K C G College of Technology, Karappakkam,
Chennai 600096",IT,INFORMATION TECHNOLOGY,,150.5,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",CS,COMPUTER SCIENCE AND ENGINEERING,,173.5,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,163,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",IT,INFORMATION TECHNOLOGY,175,172.5,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",ME,MECHANICAL ENGINEERING,,,,165.5,,,
1318,"T.J Institute of Technology, Karapakkam, Chennai - 600097",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,122.5,,,
1321,"Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET),
Guindy, Chennai 600032",PA,PLASTIC TECHNOLOGY,,123,,,,,
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri,
Chennai 603104",ME,MECHANICAL ENGINEERING,,,,,99,,
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram
District 602105",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,153,,,,,
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai
600069",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,163.5,,,,,,
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai
600069",CS,COMPUTER SCIENCE AND ENGINEERING,122.5,,,,,,
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai
600069",MZ,Mechatronics Engineering,,,,,180.5,,
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai
600069",SC,Computer Science and Engineering (Cyber Security),133,,,,,,
1401,"Adhiparasakthi Engineering College,
Melmaruvathur, Chengalpattu District 603319",IT,INFORMATION TECHNOLOGY,131.5,,,,,,
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",121,,,,,,
1414,"Prince Shri Venkateshwara  Padmavathy
Engineering College, Ponmar, Chennai 600048",CS,"COMPUTER SCIENCE AND
ENGINEERING",,,,153.93,,,
1416,"Jaya Sakthi Engineering College, Thirunindravur,
Chennai 602024",ME,MECHANICAL ENGINEERING,,,,,109,,
1419,"Sri Sai Ram Enginering College (Autonomous),
West Tambaram, Chennai 600044",IT,INFORMATION TECHNOLOGY,132.5,,,,,,
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,123,,,
1421,"V R S College of Engineering and Technology,
Arasur, Villupuram District 607107",CS,"COMPUTER SCIENCE AND
ENGINEERING",,,,,110.5,,
1422,"SRM Valliammai Engineering College
(Autonomous), Kattankulathur, Chennai 603203",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",171,,,,,,
1422,"SRM Valliammai Engineering College
(Autonomous), Kattankulathur, Chennai 603203",CS,"COMPUTER SCIENCE AND
ENGINEERING",124.5,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",114,,,,,,
1427,"Sri Krishna Engineering College, Panappakkam,
Padappai, Chennai 601301",FT,FASHION TECHNOLOGY,124.5,,,,,,
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District
606201",CE,CIVIL  ENGINEERING,97,,,,,,
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District
606201",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,113,,,,,,
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District,
Chennai 600124",CS,COMPUTER SCIENCE AND ENGINEERING,,,140,,,,
1434,"Surya Group of Institutions, GST Road, Vikravandi
Village, Villupuram District 605652",ME,MECHANICAL ENGINEERING,106,,,,,,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi
District 606202",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,126,,,,,,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi
District 606202",ME,MECHANICAL ENGINEERING,134,115.5,,,,,
1445,"Sri Rangapoopathi College of Engineering,
Alampoondi Village, Gingee, Villupuram District 604151",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,127,,,,,
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur,
Tindivanam Taluk, Villupuram District 604307",CS,COMPUTER SCIENCE AND ENGINEERING,,,,113.5,,,
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur,
Tindivanam Taluk, Villupuram District 604307",ME,MECHANICAL ENGINEERING,124.5,,,,,,
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus,
Nungambakkam, Chennai 600034",CS,COMPUTER SCIENCE AND ENGINEERING,137,,,,,,
1510,"Priyadarshini Engineering College, Vaniyambadi
Post, Thiruppattur District 635751",CE,CIVIL  ENGINEERING,,,,,113.5,,
1510,"Priyadarshini Engineering College, Vaniyambadi
Post, Thiruppattur District 635751",CS,"COMPUTER SCIENCE AND
ENGINEERING",135,113.5,,,,,
1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,113,,,
1510,"Priyadarshini Engineering College, Vaniyambadi
Post, Thiruppattur District 635751",ME,MECHANICAL ENGINEERING,124,,,109,,,
1516,"Thanthai Periyar Government Institute of
Technology, Bagayam, Vellore District 632002",CE,CIVIL  ENGINEERING,105.5,,,,,,
1516,"Thanthai Periyar Government Institute of
Technology, Bagayam, Vellore District 632002",CS,"COMPUTER SCIENCE AND
ENGINEERING",167,,,,,,
1516,"Thanthai Periyar Government Institute of
Technology, Bagayam, Vellore District 632002",ME,MECHANICAL ENGINEERING,,,,136,121,,
1517,"Thirumalai Engineering College, Kilambi,
Kancheepuram District 631551",CS,"COMPUTER SCIENCE AND
ENGINEERING",111.5,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District
604505",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",115,,,,,,
1518,"Thiruvalluvar College of Engineering and
Technology, Vandavasi, Thiruvannamalai District 604505",ME,MECHANICAL ENGINEERING,111.5,,,,,,
1519,"Bharathidasan Engineering College, Nattrampalli
Post, Thiruppathur District 635854",CE,CIVIL  ENGINEERING,112,,,,,,
1519,"Bharathidasan Engineering College, Nattrampalli
Post, Thiruppathur District 635854",CS,"COMPUTER SCIENCE AND
ENGINEERING",,103.5,,,,,
1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,114.5,,,
1519,"Bharathidasan Engineering College, Nattrampalli
Post, Thiruppathur District 635854",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,,121.5,,
1523,"Global Institute of Engineering and Technology,
Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Ranipet District 632506",CS,COMPUTER SCIENCE AND ENGINEERING,,112,,,,,
1523,"Global Institute of Engineering and Technology,
Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Ranipet District 632506",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,103,,
1525,"Podhigai College of Engineering and Technology,
Vinayakapuram, Adiyur Post, Tirupattur District 635601",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,105.5,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL  ENGINEERING,,165,,119,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,,153.5,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,134,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,"ELECTRONICS AND INSTRUMENTATION
ENGINEERING",,,,153,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,160,146.5,,,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,,185,,,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,177,173.5,,176.5,,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,,,170.5,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",AS,"AUTOMOBILE ENGINEERING
(SS)",,176.5,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),,161.5,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CG,"Computer Science and Engineering (Artificial Intelligence and Machine
Learning) (SS)",,,,192.5,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",CM,"COMPUTER SCIENCE AND
ENGINEERING (SS)",,199,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,156,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,190,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EM,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",194.5,,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",IM,"INFORMATION TECHNOLOGY
(SS)",198,193,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",IY,"INSTRUMENTATION AND
CONTROL ENGINEERING (SS)",,,,,168,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",MF,"MECHANICAL ENGINEERING
(SS)",194.5,,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",MS,"MECHANICAL ENGINEERING
(SANDWICH) (SS)",165,,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",PR,PRODUCTION ENGINEERING,171.5,,,,,,
2006,"PSG College of Technology (Autonomous),
Peelamedu, Coimbatore District 641004",TX,TEXTILE TECHNOLOGY,,151,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),,190,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CE,CIVIL  ENGINEERING,164,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CS,COMPUTER SCIENCE AND ENGINEERING,194.5,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,,155,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,149.5,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EM,"ELECTRONICS AND
COMMUNICATION ENGINEERING (SS)",184.5,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EY,"ELECTRICAL AND ELECTRONICS ENGINEERING
(SS)",,180.5,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",ME,MECHANICAL ENGINEERING,,172.5,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",MF,MECHANICAL ENGINEERING (SS),,,,155.5,,,
2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore
District 641046",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,127.5,,
2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore
District 641046",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,157,,,,,,
2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore
District 641046",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,161.5,,,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District
637304",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",126,,,,,,
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District
639003",CS,COMPUTER SCIENCE AND ENGINEERING,126,,,,,,
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District
639003",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",117.5,,,,,,
2328,"K S R Institute for Engineering and Technology,
Thokkavadi, Namakkal District 637215",BM,BIO MEDICAL ENGINEERING,104,,,,,,
2328,"K S R Institute for Engineering and Technology,
Thokkavadi, Namakkal District 637215",CS,"COMPUTER SCIENCE AND
ENGINEERING",113.5,,,,,,
2328,"K S R Institute for Engineering and Technology,
Thokkavadi, Namakkal District 637215",ME,MECHANICAL ENGINEERING,,109,,,,,
2329,"Rathinam Technical Campus, Pollachi Road,
Eachanari, Coimbatore District 641021",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",169.5,,,,,,
2329,"Rathinam Technical Campus, Pollachi Road,
Eachanari, Coimbatore District 641021",CS,"COMPUTER SCIENCE AND
ENGINEERING",,,,136,,,
2329,"Rathinam Technical Campus, Pollachi Road,
Eachanari, Coimbatore District 641021",XS,"COMPUTER SCIENCE AND
ENGINEERING (TAMIL)",123,,,,,,
2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near
Saravanampatti, Coimbatore District 641110",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,98.5,,,,,,
2338,"Asian College of Engineering and Technology, Asian
College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,155.5,,
2338,"Asian College of Engineering and Technology, Asian
College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",ME,MECHANICAL ENGINEERING,108.5,,,,,,
2341,"Ganesh College of Engineering, Attur Main Road,
Mettupatti, Salem District 636111",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",111,,,,,,
2341,"Ganesh College of Engineering, Attur Main Road,
Mettupatti, Salem District 636111",CS,"COMPUTER SCIENCE AND
ENGINEERING",,,,149,,,
2341,"Ganesh College of Engineering, Attur Main Road,
Mettupatti, Salem District 636111",ME,MECHANICAL ENGINEERING,105.5,,,,,,
2342,"Sri Ranganathar Institute of Engineering and
Technology, Thudialur-Kovilpalay Road, Coimbatore District 641110",ME,MECHANICAL ENGINEERING,129.5,,,,,,
2345,"Dhirajlal Gandhi College of Technology,
Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,,132.5,,,
2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk,
Salem District 636309",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",146.5,,,,,,
